DATE,ECOMPCTNSA_20200519,ECOMPCTNSA_20200818
1/1/2010,4.2,4.2
4/1/2010,4,4
7/1/2010,4.2,4.2
10/1/2010,5.3,5.3
1/1/2011,4.7,4.7
4/1/2011,4.4,4.4
7/1/2011,4.5,4.5
10/1/2011,5.9,5.9
1/1/2012,5.1,5.1
4/1/2012,4.9,4.9
7/1/2012,5,5
10/1/2012,6.5,6.5
1/1/2013,5.6,5.6
4/1/2013,5.4,5.4
7/1/2013,5.5,5.5
10/1/2013,7.1,7.1
1/1/2014,6.2,6.2
4/1/2014,5.9,5.9
7/1/2014,6.1,6.1
10/1/2014,7.8,7.8
1/1/2015,7,7
4/1/2015,6.7,6.7
7/1/2015,6.8,6.8
10/1/2015,8.7,8.7
1/1/2016,7.7,7.7
4/1/2016,7.5,7.5
7/1/2016,7.7,7.7
10/1/2016,9.6,9.6
1/1/2017,8.6,8.6
4/1/2017,8.4,8.4
7/1/2017,8.6,8.6
10/1/2017,10.6,10.6
1/1/2018,9.4,9.4
4/1/2018,9.2,9.2
7/1/2018,9.3,9.3
10/1/2018,11.4,11.4
1/1/2019,10.3,10.3
4/1/2019,10.1,10.1
7/1/2019,10.6,10.6
10/1/2019,12.7,12.7
1/1/2020,11.5,11.5
4/1/2020,.,15.1
